Player,Year,Pos,Bye,Pts,passAtt,passCmp,passYds,passTD,passInt,pass2pt,rushAtt,rushYds,rushTD,ru2pt,rec,recYds,recTD,rec2pt,FL,FLTD
Tee Higgins,2021,WR,10,219.1,0,0,0,0,0,0,0,0,0,0,74,1091,6,1,1,0
Ben Roethlisberger,2021,QB,7,218.1,605,390,3740,22,10,2,20,5,1,0,0,0,0,0,5,0
Nick Chubb,2021,RB,13,215.3,0,0,0,0,0,0,228,1259,8,0,20,174,1,0,1,0
Terry McLaurin,2021,WR,9,213.5,0,0,0,0,0,0,1,12,0,0,77,1053,5,0,0,0
Damien Harris,2021,RB,14,210.1,0,0,0,0,0,0,202,929,15,0,18,132,0,0,2,0
D'Andre Swift,2021,RB,9,208.9,1,0,0,0,0,0,151,617,5,0,62,452,2,0,1,0
Dalton Schultz,2021,TE,7,208.8,0,0,0,0,0,0,0,0,0,0,78,808,8,1,0,0
Christian Kirk,2021,WR,12,207.6,1,1,33,0,0,0,1,11,0,0,77,982,5,0,0,0
Dalvin Cook,2021,RB,7,206.3,0,0,0,0,0,0,249,1159,6,1,34,224,0,0,2,0
Javonte Williams,2021,RB,11,204.9,0,0,0,0,0,0,203,903,4,0,43,316,3,0,1,0
Teddy Bridgewater,2021,QB,11,202.7,426,285,3052,18,7,1,30,106,2,0,0,0,0,0,1,0
Amari Cooper,2021,WR,7,202.5,0,0,0,0,0,0,0,0,0,0,68,865,8,0,0,0
Adam Thielen,2021,WR,7,199.8,0,0,0,0,0,0,1,2,0,0,67,726,10,0,0,0
Trevor Lawrence,2021,QB,7,199.0,602,359,3641,12,17,2,73,334,2,0,0,0,0,0,5,0
George Kittle,2021,TE,6,198.0,0,0,0,0,0,0,3,20,0,0,71,910,6,0,1,0
Devin Singletary,2021,RB,7,197.8,0,0,0,0,0,0,188,870,7,0,40,228,1,0,0,0
Darrel Williams,2021,RB,12,196.0,0,0,0,0,0,0,144,558,6,0,47,452,2,0,0,0
Melvin Gordon,2021,RB,11,195.1,0,0,0,0,0,0,203,918,8,0,28,213,2,0,3,0
David Montgomery,2021,RB,10,195.0,1,0,0,0,1,0,225,849,7,0,42,301,0,0,1,0
Jared Goff,2021,QB,11,194.5,494,332,3245,19,8,4,17,87,0,0,0,0,0,0,6,0
Derrick Henry,2021,RB,13,193.3,1,1,5,1,0,0,219,937,10,1,18,154,0,0,0,0
Jakobi Meyers,2021,WR,14,186.3,2,2,45,0,0,0,1,9,0,0,83,866,2,2,1,0
AJ Dillon,2021,RB,13,185.6,0,0,0,0,0,0,187,803,5,0,34,313,2,0,1,0
DeVonta Smith,2021,WR,14,185.6,0,0,0,0,0,0,0,0,0,0,64,916,5,1,1,0
Tyler Boyd,2021,WR,10,183.8,1,1,46,0,0,0,2,22,0,0,67,828,5,0,0,0
A.J. Brown,2021,WR,13,180.9,2,0,0,0,0,0,2,10,0,0,63,869,5,0,0,0
Baker Mayfield,2021,QB,13,180.9,418,253,3010,17,13,2,37,134,1,0,0,11,0,0,3,0
Tua Tagovailoa,2021,QB,14,180.9,388,263,2653,16,10,1,42,128,3,0,0,0,0,0,1,0
Zach Ertz,2021,TE,12,180.7,0,0,0,0,0,0,1,4,0,0,74,763,5,0,0,0
Kendrick Bourne,2021,WR,14,180.5,1,1,25,1,0,0,12,125,0,0,55,800,5,0,1,0
Marvin Jones,2021,WR,7,180.2,0,0,0,0,0,0,0,0,0,0,73,832,4,0,0,0
Kyle Pitts,2021,TE,6,176.6,0,0,0,0,0,0,0,0,0,0,68,1026,1,0,0,0
James Robinson,2021,RB,7,173.9,0,0,0,0,0,0,164,767,8,0,31,222,0,0,2,0
Myles Gaskin,2021,RB,14,173.6,0,0,0,0,0,0,173,612,3,0,49,234,4,0,1,0
Rob Gronkowski,2021,TE,9,171.2,0,0,0,0,0,0,0,0,0,0,55,802,6,0,0,0
Brandon Aiyuk,2021,WR,6,170.3,0,0,0,0,0,0,5,17,0,0,56,826,5,1,1,0
Van Jefferson,2021,WR,11,168.2,0,0,0,0,0,0,2,20,0,0,50,802,6,0,0,0
Daniel Jones,2021,QB,10,167.5,361,232,2428,10,7,1,62,298,2,2,1,16,0,0,3,0
Chase Claypool,2021,WR,7,166.6,0,0,0,0,0,0,14,96,0,0,59,860,2,0,0,0
Mike Gesicki,2021,TE,14,165.0,1,0,0,0,0,0,0,0,0,0,73,780,2,1,0,0
Dallas Goedert,2021,TE,14,165.0,0,0,0,0,0,0,0,0,0,0,56,830,4,1,0,0
Elijah Mitchell,2021,RB,6,165.0,0,0,0,0,0,0,207,963,5,0,19,137,1,0,0,0
Hunter Henry,2021,TE,14,164.3,0,0,0,0,0,0,0,0,0,0,50,603,9,0,0,0
Dawson Knox,2021,TE,7,164.1,0,0,0,0,0,1,0,4,0,0,49,587,9,0,0,0
Darrell Henderson,2021,RB,11,163.4,0,0,0,0,0,0,149,688,5,0,29,176,3,0,0,0
Russell Gage,2021,WR,6,163.0,0,0,0,0,0,0,0,0,0,0,66,770,4,0,2,0
Cole Beasley,2021,WR,7,159.3,1,0,0,0,0,0,0,0,0,0,82,693,1,1,0,0
Noah Fant,2021,TE,11,159.0,0,0,0,0,0,0,0,0,0,0,68,670,4,0,0,0
K.J. Osborn,2021,WR,7,158.5,0,0,0,0,0,0,1,10,0,0,50,655,7,0,0,0
Sam Darnold,2021,QB,6,157.3,406,243,2527,9,13,1,48,222,5,0,0,0,0,0,4,0
Davis Mills,2021,QB,10,157.0,394,263,2664,16,10,1,18,44,0,1,0,0,0,0,1,0
A.J. Green,2021,WR,12,156.8,0,0,0,0,0,0,0,0,0,0,54,848,3,0,0,0
Tony Pollard,2021,RB,7,156.6,0,0,0,0,0,0,130,719,2,0,39,337,0,0,0,0
Tim Patrick,2021,WR,11,156.4,0,0,0,0,0,0,0,0,0,0,53,734,5,0,0,0
Michael Carter,2021,RB,6,154.4,0,0,0,0,0,0,147,639,4,0,36,325,0,0,1,0
Zach Wilson,2021,QB,6,151.9,383,213,2334,9,11,1,29,185,4,1,0,0,0,0,1,0
Marquez Callaway,2021,WR,6,151.8,0,0,0,0,0,0,0,0,0,0,46,698,6,0,0,0
Pat Freiermuth,2021,TE,7,151.7,0,0,0,0,0,0,0,0,0,0,60,497,7,1,1,0
